ISim log file
Running: /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft_isim_beh.wdb 
ISim P.58f (signature 0xfbc00daa)
This is a Full version of ISim.
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 34.  For instance tb_fft/uut/, width 8 of formal port s_axis_config_tdata is not equal to width 16 of actual variable s_axis_config_tdata. 
WARNING: File "/home/bill/workspace/EmbeddedSystemDesign/zynq_project-master/zynq_custom_ip/hw/ise/fft_peripheral/tb_fft.v" Line 50.  For instance tb_fft/uut/, width 48 of formal port m_axis_data_tdata is not equal to width 32 of actual signal m_axis_data_tdata.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                 243 	 outReal	     0 	 outImage	     0
                 245 	 outReal	     0 	 outImage	     0
                 247 	 outReal	     0 	 outImage	     0
                 249 	 outReal	     0 	 outImage	     0
                 251 	 outReal	     0 	 outImage	     0
                 253 	 outReal	     0 	 outImage	     0
                 255 	 outReal	     0 	 outImage	     0
                 257 	 outReal	     0 	 outImage	     0
                 259 	 outReal	     0 	 outImage	     0
                 261 	 outReal	     0 	 outImage	     0
                 263 	 outReal	     0 	 outImage	     0
                 265 	 outReal	     0 	 outImage	     0
                 267 	 outReal	     0 	 outImage	     0
                 269 	 outReal	     0 	 outImage	     0
                 271 	 outReal	     0 	 outImage	     0
                 273 	 outReal	     0 	 outImage	     0
                 275 	 outReal	     0 	 outImage	     0
                 277 	 outReal	     0 	 outImage	     0
                 279 	 outReal	     0 	 outImage	     0
                 281 	 outReal	     0 	 outImage	     0
                 283 	 outReal	     0 	 outImage	     0
                 285 	 outReal	     0 	 outImage	     0
                 287 	 outReal	     0 	 outImage	     0
                 289 	 outReal	     0 	 outImage	     0
                 291 	 outReal	     0 	 outImage	     0
                 293 	 outReal	     0 	 outImage	     0
                 295 	 outReal	     0 	 outImage	     0
                 297 	 outReal	     0 	 outImage	     0
                 299 	 outReal	     0 	 outImage	     0
                 301 	 outReal	     0 	 outImage	     0
                 303 	 outReal	     0 	 outImage	     0
                 305 	 outReal	     0 	 outImage	     0
                 307 	 outReal	     0 	 outImage	     0
                 309 	 outReal	     0 	 outImage	     0
                 311 	 outReal	     0 	 outImage	     0
                 313 	 outReal	     0 	 outImage	     0
                 315 	 outReal	     0 	 outImage	     0
                 317 	 outReal	     0 	 outImage	     0
                 319 	 outReal	     0 	 outImage	     0
                 321 	 outReal	     0 	 outImage	     0
                 323 	 outReal	     0 	 outImage	     0
                 325 	 outReal	     0 	 outImage	     0
                 327 	 outReal	     0 	 outImage	     0
                 329 	 outReal	     0 	 outImage	     0
                 331 	 outReal	     0 	 outImage	     0
                 333 	 outReal	     0 	 outImage	     0
                 335 	 outReal	     0 	 outImage	     0
                 337 	 outReal	     0 	 outImage	     0
                 339 	 outReal	     0 	 outImage	     0
                 341 	 outReal	     0 	 outImage	     0
                 343 	 outReal	     0 	 outImage	     0
                 345 	 outReal	     0 	 outImage	     0
                 347 	 outReal	     0 	 outImage	     0
                 349 	 outReal	     0 	 outImage	     0
                 351 	 outReal	     0 	 outImage	     0
                 353 	 outReal	     0 	 outImage	     0
                 355 	 outReal	     0 	 outImage	     0
                 357 	 outReal	     0 	 outImage	     0
                 359 	 outReal	     0 	 outImage	     0
                 361 	 outReal	     0 	 outImage	     0
                 363 	 outReal	     0 	 outImage	     0
                 365 	 outReal	     0 	 outImage	     0
                 367 	 outReal	     0 	 outImage	     0
                 369 	 outReal	     0 	 outImage	     0
                 371 	 outReal	     0 	 outImage	     0
                 373 	 outReal	     0 	 outImage	     0
                 375 	 outReal	     0 	 outImage	     0
                 377 	 outReal	     0 	 outImage	     0
                 379 	 outReal	     0 	 outImage	     0
                 381 	 outReal	     0 	 outImage	     0
                 383 	 outReal	     0 	 outImage	     0
                 385 	 outReal	     0 	 outImage	     0
                 387 	 outReal	     0 	 outImage	     0
                 389 	 outReal	     0 	 outImage	     0
                 391 	 outReal	     0 	 outImage	     0
                 393 	 outReal	     0 	 outImage	     0
                 395 	 outReal	     0 	 outImage	     0
                 397 	 outReal	     0 	 outImage	     0
                 399 	 outReal	     0 	 outImage	     0
                 401 	 outReal	     0 	 outImage	     0
                 403 	 outReal	     0 	 outImage	     0
                 405 	 outReal	     0 	 outImage	     0
                 407 	 outReal	     0 	 outImage	     0
                 409 	 outReal	     0 	 outImage	     0
                 411 	 outReal	     0 	 outImage	     0
                 413 	 outReal	     0 	 outImage	     0
                 415 	 outReal	     0 	 outImage	     0
                 417 	 outReal	     0 	 outImage	     0
                 419 	 outReal	     0 	 outImage	     0
                 421 	 outReal	     0 	 outImage	     0
                 423 	 outReal	     0 	 outImage	     0
                 425 	 outReal	     0 	 outImage	     0
                 427 	 outReal	     0 	 outImage	     0
                 429 	 outReal	     0 	 outImage	     0
                 431 	 outReal	     0 	 outImage	     0
                 433 	 outReal	     0 	 outImage	     0
                 435 	 outReal	     0 	 outImage	     0
                 437 	 outReal	     0 	 outImage	     0
                 439 	 outReal	     0 	 outImage	     0
                 441 	 outReal	     0 	 outImage	     0
                 443 	 outReal	     0 	 outImage	     0
                 445 	 outReal	     0 	 outImage	     0
                 447 	 outReal	     0 	 outImage	     0
                 449 	 outReal	     0 	 outImage	     0
                 451 	 outReal	     0 	 outImage	     0
                 453 	 outReal	     0 	 outImage	     0
                 455 	 outReal	     0 	 outImage	     0
                 457 	 outReal	     0 	 outImage	     0
                 459 	 outReal	     0 	 outImage	     0
                 461 	 outReal	     0 	 outImage	     0
                 463 	 outReal	     0 	 outImage	     0
                 465 	 outReal	     0 	 outImage	     0
                 467 	 outReal	     0 	 outImage	     0
                 469 	 outReal	     0 	 outImage	     0
                 471 	 outReal	     0 	 outImage	     0
                 473 	 outReal	     0 	 outImage	     0
                 475 	 outReal	     0 	 outImage	     0
                 477 	 outReal	     0 	 outImage	     0
                 479 	 outReal	     0 	 outImage	     0
                 481 	 outReal	     0 	 outImage	     0
                 483 	 outReal	     0 	 outImage	     0
